l,bernoulli,glassermanli
0.0,1.0,1.0
0.0,1.0,1.0
0.0,1.0,1.0
0.0,1.0,1.0
0.0,1.0,1.0
0.0,1.0,1.0
0.0,1.0,1.0
0.0,1.0,1.0
0.0,1.0,1.0
0.0,1.0,1.0
0.0,1.0,1.0
0.0,1.0,1.0
0.0,1.0,1.0
0.0,1.0,1.0
0.0,1.0,1.0
0.0,1.0,1.0
0.0,1.0,1.0
0.0,1.0,1.0
0.0,1.0,1.0
0.0,1.0,1.0
0.0,1.0,1.0
0.0,1.0,1.0
0.0,1.0,1.0
0.0,1.0,1.0
0.0,1.0,1.0
0.0,1.0,1.0
0.0,1.0,1.0
0.0,1.0,1.0
0.0,1.0,1.0
0.0,1.0,1.0
0.042105263157894736,0.573759,0.0
0.042105263157894736,0.559881,0.0
0.042105263157894736,0.544798,0.0
0.042105263157894736,0.576799,0.0
0.042105263157894736,0.574468,0.0
0.042105263157894736,0.558419,0.0
0.042105263157894736,0.553078,0.0
0.042105263157894736,0.562246,0.0
0.042105263157894736,0.564599,0.0
0.042105263157894736,0.57035,0.0
0.042105263157894736,0.543529,0.0
0.042105263157894736,0.584681,0.0
0.042105263157894736,0.564712,0.0
0.042105263157894736,0.53489,0.0
0.042105263157894736,0.577556,0.0
0.042105263157894736,0.569835,0.0
0.042105263157894736,0.563892,0.0
0.042105263157894736,0.535033,0.0
0.042105263157894736,0.585601,0.0
0.042105263157894736,0.559943,0.0
0.042105263157894736,0.569159,0.0
0.042105263157894736,0.583212,0.0
0.042105263157894736,0.568269,0.0
0.042105263157894736,0.563629,0.0
0.042105263157894736,0.561925,0.0
0.042105263157894736,0.554773,0.0
0.042105263157894736,0.557037,0.0
0.042105263157894736,0.56261,0.0
0.042105263157894736,0.583807,0.0
0.042105263157894736,0.561557,0.0
0.08421052631578947,0.185252,0.0
0.08421052631578947,0.159701,0.0
0.08421052631578947,0.172075,0.0
0.08421052631578947,0.187599,0.0
0.08421052631578947,0.172543,0.0
0.08421052631578947,0.16836,0.0
0.08421052631578947,0.163942,0.0
0.08421052631578947,0.188371,0.0
0.08421052631578947,0.148052,0.0
0.08421052631578947,0.168114,0.0
0.08421052631578947,0.184263,0.0
0.08421052631578947,0.189132,0.0
0.08421052631578947,0.158957,0.0
0.08421052631578947,0.179138,0.0
0.08421052631578947,0.162526,0.0
0.08421052631578947,0.174721,0.0
0.08421052631578947,0.157435,0.0
0.08421052631578947,0.170977,0.0
0.08421052631578947,0.170423,0.0
0.08421052631578947,0.172685,0.0
0.08421052631578947,0.178816,0.0
0.08421052631578947,0.177675,0.0
0.08421052631578947,0.172571,0.0
0.08421052631578947,0.179604,0.0
0.08421052631578947,0.167603,0.0
0.08421052631578947,0.172815,0.0
0.08421052631578947,0.171807,0.0
0.08421052631578947,0.171757,0.0
0.08421052631578947,0.180455,0.0
0.08421052631578947,0.177235,0.0
0.12631578947368421,0.052471,0.0
0.12631578947368421,0.049627,0.0
0.12631578947368421,0.057788,0.0
0.12631578947368421,0.047162,0.0
0.12631578947368421,0.058155,0.0
0.12631578947368421,0.051975,0.0
0.12631578947368421,0.064866,0.0
0.12631578947368421,0.059952,0.0
0.12631578947368421,0.049433,0.0
0.12631578947368421,0.064749,0.0
0.12631578947368421,0.062811,0.0
0.12631578947368421,0.04923,0.0
0.12631578947368421,0.06007,0.0
0.12631578947368421,0.046527,0.0
0.12631578947368421,0.059595,0.0
0.12631578947368421,0.054383,0.0
0.12631578947368421,0.050596,0.0
0.12631578947368421,0.05867,0.0
0.12631578947368421,0.056607,0.0
0.12631578947368421,0.051491,0.0
0.12631578947368421,0.056545,0.0
0.12631578947368421,0.054929,0.0
0.12631578947368421,0.049207,0.0
0.12631578947368421,0.060802,0.0
0.12631578947368421,0.057755,0.0
0.12631578947368421,0.051423,0.0
0.12631578947368421,0.061815,0.0
0.12631578947368421,0.049826,0.0
0.12631578947368421,0.062465,0.0
0.12631578947368421,0.059474,0.0
0.16842105263157894,0.01882,0.0
0.16842105263157894,0.022077,0.0
0.16842105263157894,0.022354,0.0
0.16842105263157894,0.022017,0.0
0.16842105263157894,0.022781,0.0
0.16842105263157894,0.014945,0.0
0.16842105263157894,0.022748,0.0
0.16842105263157894,0.02149,0.0
0.16842105263157894,0.019701,0.0
0.16842105263157894,0.021163,0.0
0.16842105263157894,0.024892,0.0
0.16842105263157894,0.014991,0.0
0.16842105263157894,0.01628,0.0
0.16842105263157894,0.024293,0.0
0.16842105263157894,0.0167,0.0
0.16842105263157894,0.017914,0.0
0.16842105263157894,0.020681,0.0
0.16842105263157894,0.019528,0.0
0.16842105263157894,0.015861,0.0
0.16842105263157894,0.019007,0.0
0.16842105263157894,0.024825,0.0
0.16842105263157894,0.018362,0.0
0.16842105263157894,0.010938,0.0
0.16842105263157894,0.014133,0.0
0.16842105263157894,0.014058,0.0
0.16842105263157894,0.020994,0.0
0.16842105263157894,0.013074,0.0
0.16842105263157894,0.016303,0.0
0.16842105263157894,0.018284,0.0
0.16842105263157894,0.019516,0.0
0.21052631578947367,0.00311,0.0
0.21052631578947367,0.004542,0.0
0.21052631578947367,0.004717,0.0
0.21052631578947367,0.005168,0.0
0.21052631578947367,0.005199,0.0
0.21052631578947367,0.003939,0.0
0.21052631578947367,0.004866,0.0
0.21052631578947367,0.004858,0.0
0.21052631578947367,0.007692,0.0
0.21052631578947367,0.004906,0.0
0.21052631578947367,0.006573,0.0
0.21052631578947367,0.005389,0.0
0.21052631578947367,0.007061,0.0
0.21052631578947367,0.003828,0.0
0.21052631578947367,0.008313,0.0
0.21052631578947367,0.007707,0.0
0.21052631578947367,0.007328,0.0
0.21052631578947367,0.00579,0.0
0.21052631578947367,0.008137,0.0
0.21052631578947367,0.003118,0.0
0.21052631578947367,0.006109,0.0
0.21052631578947367,0.008255,0.0
0.21052631578947367,0.007375,0.0
0.21052631578947367,0.007636,0.0
0.21052631578947367,0.004092,0.0
0.21052631578947367,0.007384,0.0
0.21052631578947367,0.003289,0.0
0.21052631578947367,0.006784,0.0
0.21052631578947367,0.012324,0.0
0.21052631578947367,0.005398,0.0
0.25263157894736843,0.00186,0.0
0.25263157894736843,0.002793,0.0
0.25263157894736843,0.002424,0.0
0.25263157894736843,0.003477,0.0
0.25263157894736843,0.002787,0.0
0.25263157894736843,0.001791,0.0
